"","Federal_District_eng","Federal_District_rus","Region_eng","Region_rus","Settlement_eng","Settlement_rus","long_city","lat_city","oktmo","num_population","pr_location_eng","pr_location_rus","distance_pedestrian","duration_pedestrian","distance_masstransit","duration_masstransit","Date","pr_type_rus","pr_type_eng","agreement","Prime_Org_eng","Prime_Org_rus","actor_kprf","actor_ldpr","actor_naval","actor_jr","actor_yab","actor_trade","actor_other","pr_number_mean","pr_number_min","pr_number_max","pr_number_category","pr_arrest","pr_arrest_category","act_arrest","link_1","link_2","link_3","source_type_rus","source_type_eng"
"1","Siberian","Сибирский","Altai region","Алтайский край","Barnaul","Барнаул",83.776856,53.346785,1701000,633432,"Svobody Square","Площадь Свободы",2150,1548,2284.93447204079,689,"2018-06-22","пикет","mass picket",1,"Trade Unions","Профсоюзы",NA,NA,NA,NA,NA,1,NA,500,NA,NA,"under 1000","","no",NA,"https://www.interfax-russia.ru/siberia/news/altayskie-profsoyuzy-proveli-v-barnaule-piket-protiv-pensionnoy-reformy","https://www.solidarnost.org/longread/strana-piketov","","СМИ","mass media"
"2","Siberian","Сибирский","Altai region","Алтайский край","Barnaul","Барнаул",83.776856,53.346785,1701000,633432,"Svobody Square","Площадь Свободы",2150,1548,2284.93447204079,689,"2018-07-01","митинг","rally",1,"LDPR","ЛДПР",NA,1,NA,NA,NA,NA,NA,200,NA,NA,"several hundreds","","no",NA,"https://www.kommersant.ru/doc/3674851","","","СМИ","mass media"
"3","Siberian","Сибирский","Altai region","Алтайский край","Barnaul","Барнаул",83.776856,53.346785,1701000,633432,"Svobody Square","Площадь Свободы",2150,1548,2284.93447204079,689,"2018-07-01","митинг","rally",1,"Navalny","Навальный",NA,NA,1,NA,NA,NA,NA,150,NA,NA,"several hundreds","","no",NA,"https://vk.com/1july_barnaul?w=wall-168195886_33","https://www.kommersant.ru/doc/3674851","https://vk.com/teamnavalny?w=wall-55284725_824222","и то и то","both"
"4","Siberian","Сибирский","Altai region","Алтайский край","Barnaul","Барнаул",83.776856,53.346785,1701000,633432,"","",NA,NA,NA,NA,"2018-07-03","отказ - не состоялся","refusal - did not take place",0,"CPRF","КПРФ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","no",NA,"https://yandex.ru/maps/197/barnaul/?ll=83.790594%2C53.331381&mode=usermaps&source=constructorLink&um=constructor%3A6bba315064dce6c325fc915ec3b5bb2dfd7f0438a9adef7158c4b0a917732d8b&z=11","https://www.nakanune.ru/news/2018/06/25/22511560/","","СМИ","mass media"
"5","Siberian","Сибирский","Altai region","Алтайский край","Barnaul","Барнаул",83.776856,53.346785,1701000,633432,"Svobody Square","Площадь Свободы",2150,1548,2284.93447204079,689,"2018-07-07","митинг","rally",1,"CPRF","КПРФ",1,NA,NA,NA,NA,NA,NA,1000,NA,NA,"more 1000","","no",NA,"https://politsib.ru/news/altayskie-kommunisty-proveli-miting-protiv-pensionnoy-reformy","https://vk.com/wall-87093443_1420","","и то и то","both"
"6","Siberian","Сибирский","Altai region","Алтайский край","Barnaul","Барнаул",83.776856,53.346785,1701000,633432,"Potok (rayon)","Микрорайон Поток",0,0,0,0,"2018-07-28","митинг","rally",1,"CPRF","КПРФ",1,NA,NA,NA,NA,NA,NA,1800,NA,NA,"more 1000","","no",NA,"http://vremya-bir.ru/2018/07/30/tysyachi-rossiyan-vyshli-na-aktsii-protesta-protiv-povysheniya-pensionnogo-vozrasta/","https://dailystorm.ru/vlast/kuda-idti-kogda-idti-nekuda-chinovniki-ne-znayut-chto-delat-s-pensionnymi-protestami","","СМИ","mass media"
"7","Siberian","Сибирский","Altai region","Алтайский край","Barnaul","Барнаул",83.776856,53.346785,1701000,633432,"Skver im Titova (park)","Сквер им. Титова",0,0,0,0,"2018-09-02","митинг","rally",NA,"CPRF","КПРФ",1,NA,NA,NA,1,NA,NA,1500,NA,NA,"more 1000","","no",NA,"https://www.kommersant.ru/doc/3730991","https://newsnn.ru/news/society/02-09-2018/protest-ne-udalsya-mitingi-protiv-pensionnoy-reformy-okazalis-bezlyudnymi","","СМИ","mass media"
"8","Siberian","Сибирский","Altai region","Алтайский край","Barnaul","Барнаул",83.776856,53.346785,1701000,633432,"Svobody Square","Площадь Свободы",2150,1548,2284.93447204079,689,"2018-09-09","митинг","rally",0,"Navalny","Навальный",NA,NA,1,NA,NA,NA,NA,200,NA,NA,"several hundreds","","no",NA,"https://www.sibreal.org/a/29479625.html","","","СМИ","mass media"
"9","Siberian","Сибирский","Altai region","Алтайский край","Barnaul","Барнаул",83.776856,53.346785,1701000,633432,"Svobody Square","Площадь Свободы",2150,1548,2284.93447204079,689,"2018-09-22","митинг","rally",1,"CPRF","КПРФ",1,NA,NA,NA,1,NA,1,1400,800,2000,"more 1000","","no",NA,"https://www.ng.ru/politics/2018-09-23/3_7316_kprf.html","https://www.yabloko.ru/news/2018/09/21-0","https://vz.ru/news/2018/9/22/942888.html","и то и то","both"
"10","Siberian","Сибирский","Altai region","Алтайский край","Biysk","Бийск",85.220656,52.541811,1705000,200576,"","",NA,NA,NA,NA,"2018-07-01","митинг","rally",1,"Navalny","Навальный",NA,NA,1,NA,NA,NA,NA,80,NA,NA,"under 100","","no",NA,"https://www.kommersant.ru/doc/3674851","https://vk.com/teamnavalny?w=wall-55284725_824222","","и то и то","both"
