"","city_1","pop","UR_share","dot","income_all","status_st","mean","arrest"
"1","Тула",551642,0.47,850,"11177328",0,240,40
"2","Старый Оскол",257948,0.39,1149,"5915060",0,40,0
"3","Оренбург",576808,0.37,1498,"8909894",0,300,0
"4","Курган",326292,0.38,4042,"4904824.5999999996",0,170,8
"5","Улан-Удэ",426650,0.37,4277.6,"6462070.2000000002",0,15,0
"6","Комсомольск-на-Амуре",253030,0.31,7515,"5578333",0,350,7
"7","Орел",319550,0.36,8000,"5767339.2999999998",0,300,2
"8","Иркутск",620099,0.39,8752,"13044005",1,750,0
"9","Ставрополь",425853,0.56,10558.7,"8428694.4000000004",1,225,0
"10","Нижневартовск",268456,0.39,11564,"16080735",0,125,6
"11","Волжский",326602,0.47,15404,"4710469",1,135,0
"12","Псков",207571,0.4,16559,"3461267",0,95,7
"13","Тольятти",719646,0.38,19530,"11962216",0,1100,4
"14","Тверь",414006,0.38,20000,"7154143",0,350,0
"15","Набережные Челны",524444,0.8,22759,"8137862",0,375,8
"16","Хабаровск",607216,0.37,22958.5,"12209398.4",0,545,14
"17","Смоленск",330049,0.45,23662,"5015690.5",0,1000,0
"18","Сочи",467681,0.6,26728,"11222015",0,170,7
"19","Киров",519025,0.33,28538,"11490585.800000001",0,400,0
"20","Бийск",213846,0.29,30282,"3000949",0,100,0
"21","Самара",1171890,0.49,31886,"21551072.600000001",0,1300,16
"22","Саратов",813862,0.64,31947.5999999999,"11058825",0,2000,6
"23","Нижний Тагил",360086,0.44,34772,"8882289",0,250,15
"24","Сыктывкар",258708,0.34,38156,"6273217",0,300,1
"25","Рязань",532772,0.41,44453,"8113206",0,350,0
"26","Чита",339929,0.41,48517,"5020514.9000000004",0,75,0
"27","Ижевск",642024,0.42,50437,"11952486",1,850,0
"28","Краснодар",808811,0.54,51296,"22058729",1,650,90
"29","Искитим",57795,0.37,52027,"1377312",0,30,1
"30","Казань",1143535,0.74,52334,"22121084",0,1100,2
"31","Владимир",355264,0.39,52845,"6506386",0,400,1
"32","Дзержинск",244616,0.48,53324,"3816265",0,NA,0
"33","Барнаул",699577,0.35,67252,"9712921",0,400,0
"34","Кострома",276090,0.35,72173,"4344953",0,225,1
"35","Воткинск",98222,0.52,78527,"1758410",0,18,0
"36","Тюмень",697037,0.44,80127,"23108872",0,535,0
"37","Салават",155655,0.49,85220,"2162683",NA,NA,0
"38","Воронеж",1023570,0.42,89111,"15757068",0,650,1
"39","Пенза",490767,0.46,120514,"9644648",0,350,0
"40","Липецк",510152,0.39,126397,"9068382",0,75,0
"41","Пермь",1036476,0.41,144779.4,"22275701.699999999",0,2260,0
"42","Благовещенск",229561,0.33,148798,"4809337",0,50,1
"43","Мурманск",305236,0.41,153533.4,"11076260.5",0,150,1
"44","Армавир",210250,0.51,157702,"3097319",0,50,2
"45","Тамбов",288895,0.46,162426,"5237572",0,70,10
"46","Ульяновск",642263,0.38,168917,"9392204",0,175,0
"47","Калининград",453461,0.38,192955,"12631890",1,400,12
"48","Сарапул",99213,0.44,204153.4,"1881126.8",0,50,0
"49","Волгоград",1017451,0.47,216208,"17286963",0,625,31
"50","Астрахань",532699,0.38,231301,"7542488",0,135,1
"51","Орск",236962,0.39,241215,"3589609",0,71,0
"52","Глазов",94610,0.35,241904,"1816712",0,NA,0
"53","Нефтекамск",136732,0.52,246912,"2090936",0,30,0
"54","Лысьва",74960,0.41,303725.9,"1608107",1,35,0
"55","Ухта",120515,0.34,313514,"3481225",0,50,5
"56","Уфа",1115885,0.48,323353,"22300664",0,1125,0
"57","Бердск",102608,0.39,350309,"2024194",0,45,0
"58","Магнитогорск",417039,0.38,789804,"10426609",0,500,2
"59","Иваново",409285,0.34,806830,"6535778",1,350,0
"60","Челябинск",1183387,0.34,818485,"28430614",0,1500,13
"61","Брянск",426060,0.58,879200,"6372138",0,175,4
"62","Южно-Сахалинск",199767,0.43,1282907,"22522927",0,175,15
"63","Новокузнецк",550127,0.81,2424557,"16149690.4",1,150,0
"64","Кемерово",549159,0.81,3505184,"17821133.800000001",0,225,0
"65","Якутск",315951,0.39,290029.8,"15111651.4",0,60,1
"66","Кувандык",23285,0.3417,NA,NA,0,1,0
"67","Качканар",38092,0.3126,NA,NA,0,24,0
"68","Чусовской",43737,0.4142,NA,NA,0,11,0
"69","Обнинск",109365,0.37,NA,"3234832",0,60,0
"70","Альметьевск",202690,0.83,NA,"4118778.4",0,40,0
"71","Великий Новгород",221954,0.32,NA,"4473519.7",0,50,0
"72","Петрозаводск",267102,0.336103950152018,NA,NA,0,275,6
"73","Йошкар-Ола",274140,0.37,NA,"3275604.1",1,50,0
"74","Вологда",284280,0.29,NA,"7024801.4000000004",0,350,0
"75","Череповец",288813,0.41,NA,"7037267.7999999998",0,500,0
"76","Саранск",331654,0.77,NA,"6543760",0,80,1
"77","Архангельск",346697,0.39,NA,"7812885",0,350,3
"78","Калуга",359196,0.42,NA,"8605276",0,170,3
"79","Белгород",369815,0.3669,NA,NA,0,NA,0
"80","Курск",435117,0.44,NA,"6458746.7999999998",0,100,9
"81","Чебоксары",484469,0.43,NA,"8408309",0,400,5
"82","Ярославль",564290,0.35,NA,NA,1,200,0
"83","Томск",586350,0.38,NA,NA,0,765,0
"84","Владивосток",598927,0.311317773463952,NA,NA,0,1250,26
"85","Махачкала",710880,0.91,NA,"6508032",0,75,44
"86","Красноярск",1093771,0.355887888672191,NA,NA,0,725,2
"87","Ростов-на-Дону",1114806,0.59,NA,"32878886",0,650,5
"88","Омск",1173854,0.29,NA,"15439663",0,1500,0
"89","Нижний Новгород",1276560,0.53,NA,"24066479.600000001",0,1435,45
"90","Екатеринбург",1461372,0.39,NA,"32063648",0,3500,12
"91","Новосибирск",1567087,0.35,NA,"34408399",1,2250,0
