"","pref_hiring_women","pref_hiring_blacks","racial_quotas_sports","redistribute_blacks","first_daughter","age","abortion_defect","abortion_income","race","sex","survey","anc_support","how_many_kids","how_many_daughters","benchwgt","prov","geotype","any_daughters","urban","black","white","coloured","indian","pref_hiring_women2","pref_hiring_blacks2","racial_quotas_sports2","redistribute_blacks2","pref_hiring_binary","abortion_defect_binary","abortion_income_binary"
"2","neither agree nor disagree","disagree","neither agree nor disagree","agree",1,37,"almost always wrong","wrong only sometimes","black or african",0,"sas11",0,1,1,5359.76356524154,"wc","urban,formal",1,1,1,0,0,0,"neither agree nor disagree","disagree","neither agree nor disagree","agree",0,0,1
"8","neither agree nor disagree","neither agree nor disagree","do not know","strongly disagree",0,71,"always wrong","always wrong","indian or asian",0,"sas11",1,2,0,11653.8788623921,"wc","urban,formal",0,1,0,0,0,1,"neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","strongly disagree",0,0,0
"9","disagree","disagree","do not know","disagree",0,39,"always wrong","always wrong","black or african",1,"sas11",0,1,0,10719.5271304831,"wc","urban,formal",0,1,1,0,0,0,"disagree","disagree","neither agree nor disagree","disagree",0,0,0
"11","strongly disagree","strongly disagree","strongly disagree","strongly disagree",0,38,"always wrong","always wrong","coloured",1,"sas11",0,2,1,5883.14717376182,"wc","urban,formal",1,1,0,0,1,0,"strongly disagree","strongly disagree","strongly disagree","strongly disagree",0,0,0
"13","strongly disagree","strongly disagree","strongly disagree","strongly disagree",0,60,"always wrong","always wrong","coloured",1,"sas11",0,1,0,13224.029687953,"wc","urban,formal",0,1,0,0,1,0,"strongly disagree","strongly disagree","strongly disagree","strongly disagree",0,0,0
"14","disagree","disagree","strongly disagree","agree",1,44,"always wrong","always wrong","black or african",1,"sas11",1,1,1,16079.2906957246,"wc","urban,formal",1,1,1,0,0,0,"disagree","disagree","strongly disagree","agree",0,0,0
"15","strongly agree","strongly agree","strongly agree","disagree",1,50,"always wrong","always wrong","coloured",1,"sas11",0,2,2,4387.22364080427,"wc","urban,formal",1,1,0,0,1,0,"strongly agree","strongly agree","strongly agree","disagree",1,0,0
"16","strongly agree","strongly disagree","do not know","disagree",1,39,"not wrong at all","always wrong","coloured",1,"sas11",0,2,2,13395.9627241061,"wc","urban,formal",1,1,0,0,1,0,"strongly agree","strongly disagree","neither agree nor disagree","disagree",1,1,0
"17","strongly agree","disagree","do not know","agree",0,59,"not wrong at all","always wrong","coloured",1,"sas11",0,1,0,2924.81576053618,"wc","urban,formal",0,1,0,0,1,0,"strongly agree","disagree","neither agree nor disagree","agree",1,1,0
"18","strongly disagree","strongly disagree","strongly disagree","agree",1,49,"always wrong","always wrong","coloured",0,"sas11",1,2,1,7766.86981726991,"wc","urban,formal",1,1,0,0,1,0,"strongly disagree","strongly disagree","strongly disagree","agree",0,0,0
"25","agree","agree","agree","agree",1,43,"always wrong","always wrong","black or african",0,"sas11",1,1,1,5127.87194260156,"wc","rural,formal",1,0,1,0,0,0,"agree","agree","agree","agree",1,0,0
"33","do not know","do not know","do not know","strongly disagree",1,40,"always wrong","always wrong","coloured",1,"sas11",0,1,1,4414.87859721012,"wc","rural,formal",1,0,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","strongly disagree",0,0,0
"39","do not know","do not know","do not know","strongly disagree",1,52,"always wrong","always wrong","coloured",1,"sas11",0,1,1,3373.73804071769,"wc","rural,formal",1,0,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","strongly disagree",0,0,0
"42","do not know","do not know","do not know","strongly disagree",1,35,"wrong only sometimes","always wrong","coloured",1,"sas11",0,1,1,3373.73804071769,"wc","rural,formal",1,0,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","neither agree nor disagree","strongly disagree",0,1,0
"45","strongly agree","strongly disagree","neither agree nor disagree","agree",1,68,"wrong only sometimes","always wrong","coloured",1,"sas11",1,1,1,5735.46673708587,"wc","urban,formal",1,1,0,0,1,0,"strongly agree","strongly disagree","neither agree nor disagree","agree",1,1,0
"46","disagree","disagree","agree","disagree",0,49,"always wrong","always wrong","coloured",1,"sas11",0,3,1,5849.63152107235,"wc","urban,formal",1,1,0,0,1,0,"disagree","disagree","agree","disagree",0,0,0
"47","agree","agree","agree","strongly disagree",0,55,"always wrong","always wrong","coloured",1,"sas11",0,1,0,4387.22364080427,"wc","urban,formal",0,1,0,0,1,0,"agree","agree","agree","strongly disagree",1,0,0
"48","disagree","strongly disagree","strongly disagree","agree",0,24,"wrong only sometimes","always wrong","coloured",1,"sas11",1,1,0,8332.64716566138,"wc","urban,formal",0,1,0,0,1,0,"disagree","strongly disagree","strongly disagree","agree",0,1,0
"50","agree","strongly disagree","strongly disagree","strongly disagree",1,36,"not wrong at all","always wrong","coloured",1,"sas11",0,2,2,1913.70911821404,"wc","urban,formal",1,1,0,0,1,0,"agree","strongly disagree","strongly disagree","strongly disagree",1,1,0
"52","agree","agree","strongly disagree","agree",1,52,"not wrong at all","not wrong at all","white",0,"sas11",0,3,1,107262.148622853,"wc","urban,formal",1,1,0,1,0,0,"agree","agree","strongly disagree","agree",1,1,1
"53","neither agree nor disagree","agree","agree","agree",0,54,"not wrong at all","always wrong","coloured",0,"sas11",0,1,0,4479.49312113628,"wc","rural,formal",0,0,0,0,1,0,"neither agree nor disagree","agree","agree","agree",0,1,0
"55","agree","agree","agree","agree",0,40,"not wrong at all","always wrong","coloured",0,"sas11",0,1,0,7360.84490350495,"wc","rural,formal",0,0,0,0,1,0,"agree","agree","agree","agree",1,1,0
"57","neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,62,"not wrong at all","always wrong","coloured",0,"sas11",0,2,0,5884.8657371948,"wc","rural,formal",0,0,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","agree","neither agree nor disagree",0,1,0
"64","neither agree nor disagree","neither agree nor disagree","agree","disagree",1,46,"not wrong at all","always wrong","coloured",0,"sas11",0,1,1,4479.49312113628,"wc","rural,formal",1,0,0,0,1,0,"neither agree nor disagree","neither agree nor disagree","agree","disagree",0,1,0
"67","agree","strongly disagree","neither agree nor disagree","neither agree nor disagree",1,68,"almost always wrong","always wrong","coloured",0,"sas11",0,1,1,7652.70503328343,"wc","urban,formal",1,1,0,0,1,0,"agree","strongly disagree","neither agree nor disagree","neither agree nor disagree",1,0,0
"69","strongly agree","strongly agree","strongly agree","disagree",0,40,"always wrong","always wrong","coloured",1,"sas11",0,3,0,7654.83647285616,"wc","urban,formal",0,1,0,0,1,0,"strongly agree","strongly agree","strongly agree","disagree",1,0,0
"71","strongly agree","strongly agree","strongly agree","strongly disagree",0,31,"always wrong","always wrong","coloured",0,"sas11",0,2,0,5278.59380186764,"wc","urban,formal",0,1,0,0,1,0,"strongly agree","strongly agree","strongly agree","strongly disagree",1,0,0
"72","strongly agree","strongly agree","strongly agree","strongly disagree",0,48,"always wrong","always wrong","coloured",1,"sas11",0,2,1,2924.81576053618,"wc","urban,formal",1,1,0,0,1,0,"strongly agree","strongly agree","strongly agree","strongly disagree",1,0,0
"75","agree","strongly disagree","do not know","disagree",0,46,"always wrong","always wrong","coloured",1,"sas11",0,1,0,2924.81576053618,"wc","urban,formal",0,1,0,0,1,0,"agree","strongly disagree","neither agree nor disagree","disagree",1,0,0
"78","strongly agree","strongly disagree","disagree","strongly disagree",0,49,"always wrong","always wrong","coloured",1,"sas11",0,1,0,1462.40788026809,"wc","urban,formal",0,1,0,0,1,0,"strongly agree","strongly disagree","disagree","strongly disagree",1,0,0
"80","strongly agree","strongly agree","strongly agree","disagree",1,42,"almost always wrong","always wrong","coloured",1,"sas11",0,2,1,7654.83647285616,"wc","urban,formal",1,1,0,0,1,0,"strongly agree","strongly agree","strongly agree","disagree",1,0,0
"86","neither agree nor disagree","disagree","disagree","disagree",1,57,"always wrong","always wrong","coloured",1,"sas11",1,2,2,5849.63152107235,"wc","urban,formal",1,1,0,0,1,0,"neither agree nor disagree","disagree","disagree","disagree",0,0,0
"87","neither agree nor disagree","strongly disagree","strongly disagree","strongly disagree",0,28,"not wrong at all","always wrong","coloured",0,"sas11",1,1,0,5278.59380186764,"wc","urban,formal",0,1,0,0,1,0,"neither agree nor disagree","strongly disagree","strongly disagree","strongly disagree",0,1,0
"90","strongly agree","strongly disagree","strongly disagree","strongly disagree",0,50,"always wrong","always wrong","coloured",1,"sas11",0,2,1,5849.63152107235,"wc","urban,formal",1,1,0,0,1,0,"strongly agree","strongly disagree","strongly disagree","strongly disagree",1,0,0
"91","neither agree nor disagree","strongly disagree","strongly disagree","strongly disagree",1,39,"not wrong at all","always wrong","coloured",1,"sas11",1,2,2,4786.03738452686,"wc","urban,formal",1,1,0,0,1,0,"neither agree nor disagree","strongly disagree","strongly disagree","strongly disagree",0,1,0
"95","strongly disagree","strongly disagree","strongly disagree","strongly disagree",0,56,"not wrong at all","always wrong","white",1,"sas11",0,1,0,8390.9973393383,"wc","urban,formal",0,1,0,1,0,0,"strongly disagree","strongly disagree","strongly disagree","strongly disagree",0,1,0
"97","strongly disagree","strongly disagree","strongly disagree","strongly disagree",1,43,"not wrong at all","always wrong","coloured",1,"sas11",0,1,1,1321.30997386574,"wc","urban,informal",1,0,0,0,1,0,"strongly disagree","strongly disagree","strongly disagree","strongly disagree",0,1,0
"99","neither agree nor disagree","strongly disagree","strongly disagree","strongly disagree",1,54,"not wrong at all","always wrong","coloured",0,"sas11",1,2,1,2010.97338361211,"wc","urban,informal",1,0,0,0,1,0,"neither agree nor disagree","strongly disagree","strongly disagree","strongly disagree",0,1,0
"100","neither agree nor disagree","strongly disagree","strongly disagree","disagree",0,45,"always wrong","always wrong","coloured",0,"sas11",0,1,0,2010.97338361211,"wc","urban,informal",0,0,0,0,1,0,"neither agree nor disagree","strongly disagree","strongly disagree","disagree",0,0,0
"106","agree","disagree","disagree","disagree",0,26,"always wrong","always wrong","coloured",1,"sas11",0,1,0,10799.9366344222,"wc","urban,formal",0,1,0,0,1,0,"agree","disagree","disagree","disagree",1,0,0
"107","agree","strongly disagree","agree","strongly disagree",1,49,"always wrong","always wrong","coloured",0,"sas11",0,3,2,9708.58727158738,"wc","urban,formal",1,1,0,0,1,0,"agree","strongly disagree","agree","strongly disagree",1,0,0
